age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,attendance_rate,pass_binary,risk_category,study_efficiency,has_failures,family_edu_avg,family_edu_max
18,4,4,2,2,0,4,3,4,1,1,3,4,11,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,0.7333333333333334,1,Medium_Risk,2.444444444444444,0,4.0,4
17,1,1,1,2,0,5,3,3,1,1,3,2,11,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.8666666666666667,1,Medium_Risk,3.4444444444444446,0,1.0,1
15,1,1,1,2,0,4,3,2,2,3,3,6,12,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,0.6,1,Medium_Risk,4.111111111111112,0,1.0,1
15,4,2,1,3,0,3,2,2,1,1,5,0,14,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,True,1.0,1,Low_Risk,3.5,0,3.0,4
16,3,3,1,2,0,4,3,2,1,2,5,0,13,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,1.0,1,Medium_Risk,4.111111111111112,0,3.0,3
16,4,3,1,2,0,5,4,2,1,2,5,6,13,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.6,1,Medium_Risk,4.111111111111112,0,3.5,4
16,2,2,1,2,0,4,4,4,1,1,3,0,13,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,1.0,1,Medium_Risk,4.222222222222222,0,2.0,2
17,4,4,2,2,0,4,1,4,1,1,1,2,13,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,0.8666666666666667,1,Medium_Risk,4.0,0,4.0,4
15,3,2,1,2,0,4,2,2,1,1,1,0,17,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,1.0,1,Low_Risk,5.333333333333333,0,2.5,3
15,3,4,1,2,0,5,5,1,1,1,5,0,13,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1.0,1,Medium_Risk,4.111111111111112,0,3.5,4
15,4,4,1,2,0,3,3,3,1,2,2,2,14,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,0.8666666666666667,1,Low_Risk,4.666666666666667,0,4.0,4
15,2,1,3,3,0,5,2,2,1,1,4,0,13,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,1.0,1,Medium_Risk,2.9166666666666665,0,1.5,2
15,4,4,1,1,0,4,3,3,1,3,5,0,12,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,1.0,1,Medium_Risk,6.166666666666667,0,4.0,4
15,4,3,2,2,0,5,4,3,1,2,3,0,13,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1.0,1,Medium_Risk,4.111111111111112,0,3.5,4
15,2,2,1,3,0,4,5,2,1,1,3,0,15,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,1.0,1,Low_Risk,3.5833333333333335,0,2.0,2
16,4,4,1,1,0,4,4,4,1,2,2,6,17,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.6,1,Low_Risk,8.5,0,4.0,4
16,4,4,1,3,0,3,2,3,1,2,2,10,14,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.33333333333333337,1,Low_Risk,3.3333333333333335,0,4.0,4
