age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,attendance_rate,grade_avg,pass_binary,risk_category,study_efficiency,has_failures,family_edu_avg,family_edu_max
18,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,0.7333333333333334,7.333333333333333,1,Medium_Risk,2.444444444444444,0,4.0,4
17,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.8666666666666667,10.333333333333334,1,Medium_Risk,3.4444444444444446,0,1.0,1
15,1,1,1,2,0,4,3,2,2,3,3,6,12,13,12,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,0.6,12.333333333333334,1,Medium_Risk,4.111111111111112,0,1.0,1
15,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,True,1.0,14.0,1,Low_Risk,3.5,0,3.0,4
16,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.0,3
16,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.6,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.5,4
16,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,1.0,12.666666666666666,1,Medium_Risk,4.222222222222222,0,2.0,2
17,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,0.8666666666666667,12.0,1,Medium_Risk,4.0,0,4.0,4
15,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,1.0,16.0,1,Low_Risk,5.333333333333333,0,2.5,3
15,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.5,4
15,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,0.8666666666666667,14.0,1,Low_Risk,4.666666666666667,0,4.0,4
15,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,1.0,11.666666666666666,1,Medium_Risk,2.9166666666666665,0,1.5,2
15,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,1.0,12.333333333333334,1,Medium_Risk,6.166666666666667,0,4.0,4
15,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.5,4
15,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,1.0,14.333333333333334,1,Low_Risk,3.5833333333333335,0,2.0,2
16,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.6,17.0,1,Low_Risk,8.5,0,4.0,4
16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.33333333333333337,13.333333333333334,1,Low_Risk,3.3333333333333335,0,4.0,4
16,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,0.8666666666666667,13.666666666666666,1,Low_Risk,4.555555555555555,0,3.0,3
17,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False,0.8666666666666667,7.666666666666667,0,High_Risk,3.8333333333333335,1,2.5,3
16,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,0.6,12.0,1,Medium_Risk,6.0,0,3.5,4
15,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,1.0,13.0,1,Low_Risk,4.333333333333333,0,3.5,4
15,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,1.0,11.666666666666666,1,Medium_Risk,5.833333333333333,0,4.0,4
16,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,1.0,13.0,1,Low_Risk,4.333333333333333,0,3.0,4
16,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.8666666666666667,10.0,1,Medium_Risk,3.3333333333333335,0,2.0,2
15,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,0.8666666666666667,10.333333333333334,1,Medium_Risk,2.5833333333333335,0,3.0,4
16,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,0.6,11.0,1,Medium_Risk,5.5,0,2.0,2
15,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.4666666666666667,11.666666666666666,1,Medium_Risk,5.833333333333333,0,2.0,2
15,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,False,1.0,11.0,1,Medium_Risk,5.5,0,3.0,4
16,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,0.8666666666666667,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.5,4
16,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,0.7333333333333334,11.666666666666666,1,Medium_Risk,3.888888888888889,0,4.0,4
15,4,4,1,2,0,5,4,2,3,4,5,0,10,11,11,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,1.0,10.666666666666666,1,Medium_Risk,3.5555555555555554,0,4.0,4
15,4,4,2,2,0,4,3,1,1,1,5,2,15,15,15,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.8666666666666667,15.0,1,Low_Risk,5.0,0,4.0,4
15,4,3,1,2,0,4,5,2,1,1,5,0,13,14,15,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,1.0,14.0,1,Low_Risk,4.666666666666667,0,3.5,4
15,3,3,1,2,0,5,3,2,1,1,2,0,13,12,12,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.0,3
16,3,2,1,1,0,5,4,3,1,1,5,4,12,12,12,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,0.7333333333333334,12.0,1,Medium_Risk,6.0,0,2.5,3
15,2,3,2,1,0,3,5,1,1,1,5,4,11,11,11,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,0.7333333333333334,11.0,1,Medium_Risk,5.5,0,2.5,3
15,4,3,1,3,0,5,4,3,1,1,4,0,14,14,14,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1.0,14.0,1,Low_Risk,3.5,0,3.5,4
16,4,4,2,3,0,2,4,3,1,1,5,4,13,13,13,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,0.7333333333333334,13.0,1,Medium_Risk,3.25,0,4.0,4
15,3,4,1,3,0,4,3,2,1,1,5,2,11,12,12,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,0.8666666666666667,11.666666666666666,1,Medium_Risk,2.9166666666666665,0,3.5,4
15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,12,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,0.4666666666666667,13.0,1,Medium_Risk,6.5,0,2.0,2
16,2,2,2,2,0,3,3,3,1,2,3,15,11,11,10,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,0.0,10.666666666666666,1,Medium_Risk,3.5555555555555554,0,2.0,2
15,4,4,1,1,0,5,4,3,2,4,5,8,10,11,11,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,0.4666666666666667,10.666666666666666,1,Medium_Risk,5.333333333333333,0,4.0,4
15,4,4,1,2,0,4,3,3,1,1,5,0,14,15,15,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,1.0,14.666666666666666,1,Low_Risk,4.888888888888888,0,4.0,4
15,2,2,1,1,0,5,4,1,1,1,1,0,9,10,10,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,1.0,9.666666666666666,1,Medium_Risk,4.833333333333333,0,2.0,2
16,2,2,2,2,1,4,3,3,2,2,5,14,10,11,11,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,0.06666666666666665,10.666666666666666,1,Medium_Risk,3.5555555555555554,1,2.0,2
15,4,3,1,2,0,5,2,2,1,1,5,4,10,11,11,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,0.7333333333333334,10.666666666666666,1,Medium_Risk,3.5555555555555554,0,3.5,4
16,3,3,1,2,0,2,3,5,1,4,3,6,13,12,13,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.6,12.666666666666666,1,Medium_Risk,4.222222222222222,0,3.0,3
16,4,3,1,4,0,4,2,2,1,1,2,2,17,17,17,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,0.8666666666666667,17.0,1,Low_Risk,3.4,0,3.5,4
15,4,2,1,2,0,4,3,3,2,2,5,4,11,12,13,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,0.7333333333333334,12.0,1,Medium_Risk,4.0,0,3.0,4
15,4,4,1,2,0,4,4,4,1,1,3,2,13,12,12,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,False,0.8666666666666667,12.333333333333334,1,Medium_Risk,4.111111111111112,0,4.0,4
16,2,2,3,2,0,4,3,3,2,3,4,0,14,13,13,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1.0,13.333333333333334,1,Medium_Risk,4.444444444444445,0,2.0,2
15,4,2,1,2,0,4,3,3,1,1,5,0,16,14,16,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,1.0,15.333333333333334,1,Low_Risk,5.111111111111112,0,3.0,4
15,4,2,2,1,0,5,5,5,3,4,5,4,10,9,9,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.7333333333333334,9.333333333333334,0,High_Risk,4.666666666666667,0,3.0,4
15,4,4,1,1,0,3,3,4,2,3,5,0,13,12,12,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,1.0,12.333333333333334,1,Medium_Risk,6.166666666666667,0,4.0,4
15,3,3,1,1,0,5,3,4,4,4,1,0,13,12,13,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,1.0,12.666666666666666,1,Medium_Risk,6.333333333333333,0,3.0,3
16,2,1,1,2,0,5,3,4,1,1,2,2,12,13,12,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,0.8666666666666667,12.333333333333334,1,Medium_Risk,4.111111111111112,0,1.5,2
15,4,3,1,2,0,4,3,2,1,1,1,0,15,14,15,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,1.0,14.666666666666666,1,Low_Risk,4.888888888888888,0,3.5,4
15,4,4,1,2,0,3,2,2,1,1,5,8,15,15,16,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,0.4666666666666667,15.333333333333334,1,Low_Risk,5.111111111111112,0,4.0,4
15,1,2,1,2,0,4,3,2,1,1,5,0,14,13,14,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,1.0,13.666666666666666,1,Low_Risk,4.555555555555555,0,1.5,2
16,4,2,1,2,0,4,2,3,1,1,5,2,16,15,16,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,0.8666666666666667,15.666666666666666,1,Low_Risk,5.222222222222222,0,3.0,4
